1,2,3
Screen_Name,Screen_Name,Screen_Name
Shehla_Rashid,RahulGandhi,Shehla_Rashid
tterIndia,sardanarohit,tterIndia
AtishiAAP,narendramodi,SanjaySDutt
SanjaySDutt,yadavakhilesh,RoshanKrRai
SadhguruJV,ashutosh83B,SudhansuNaik963
SudhansuNaik963,sardesairajdeep,NanwaniDevanshi
RoshanKrRai,ArvindKejriwal,AkbaruddinIndia
narendramodi,HardikPatel_,AndrewScheer
sambitswaraj,TajinderBagga,RKRadhakrishn
NanwaniDevanshi,KapilSibal,ambkcsingh
AkbaruddinIndia,anjanaomkashyap,RohanJa97142831
AndrewScheer,rvaidya2000,Phenomenal_Jeet
ArvindKejriwal,priyaramani,SwamiGeetika
ambkcsingh,AnkitLal,imRahulAggarwal
RahulGandhi,sanjaynirupam,ANIRUDHSGARGAT
RKRadhakrishn,SadhguruJV,HansdakVijay
RohanJa97142831,Shehzad_Ind,lilmum55
Phenomenal_Jeet,WithPGV,salman7khurshid
AmitShah,ReallySwara,geetv79
SwamiGeetika,yadavtejashwi,Sindhanilkanth3
ANIRUDHSGARGAT,AshokTanwar_INC,dalitsamajindia
imRahulAggarwal,mssirsa,SaleemJaved1307
swaroopkaimal,jgopikrishnan70,AdamRamsay
HansdakVijay,AMIT_GUJJU,RupeshK06700457
manishaParaswa2,Swamy39,abhishekINDIAN7
lilmum55,manakgupta,RaniRosser
arunjaitley,priyankac19,Jyotijo01302084
geetv79,SanjayAzadSln,pranavINC
salman7khurshid,siddaramaiah,Ind_MARCOS
drdineshbjp,KirtiAzadMP,AmritaSoni_22
Sindhanilkanth3,SoniaGOfficial,nandini_idnani
Shehzad_Ind,ameytirodkar,Punter_clarke
JagratiShukla29,AliSohrab007,Ansariabba
SaleemJaved1307,RKshah901,RajivKGupta63
dalitsamajindia,SitaramYechury,rasmita1001
AdamRamsay,richa_singh,SumaiyaIyc
RupeshK06700457,ashubh,swamiyogeshji
curryputtar,drdineshbjp,Ashishboudha4
bajjiladeva,VTankha,bajrangbali79
abhishekINDIAN7,sambitswaraj,THarishyam
AshramHaridwar,JaiveerShergill,Sampat_sakaal
sujitthakur,HarsimratBadal_,rajvsisodiya
spom_19,tavleen_singh,ZJ20AqoqUvJFleA
s_patel19,supriya_sule,col_jaivir
OmHDL,meerasanyal,azadveloor
HTmind,TVMohandasPai,singhpiyush_
HDLYoddha,DrJitendraSingh,DRVIBHORGUPTA
iMonkJi,RoshanKrRai,schestowitz
kapsology,ZakirKhan012,mariaItarana
RaniRosser,SanjaySDutt,AmitShah
pranavINC,AndrewScheer,Nishant78698684
Ind_MARCOS,sanjuydv,ajitbhinder
